Date,Species,Latitude,Longitude,NumMosquitos,WnvPresent,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,ResultSpeed,ResultDir,StnPressure,SeaLevel,gps_cat
2007-05-29,CULEX PIPIENS/RESTUANS,41.95469,-87.800991,1,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,1
2007-05-29,CULEX RESTUANS,41.95469,-87.800991,1,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,1
2007-05-29,CULEX RESTUANS,41.994991,-87.769279,1,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,2
2007-05-29,CULEX PIPIENS/RESTUANS,41.974089,-87.824812,1,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,3
2007-05-29,CULEX RESTUANS,41.974089,-87.824812,4,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,3
2007-05-29,CULEX RESTUANS,41.9216,-87.666455,2,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,4
2007-05-29,CULEX RESTUANS,41.891118,-87.654491,1,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,5
2007-05-29,CULEX PIPIENS/RESTUANS,41.867108,-87.654224,1,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,6
2007-05-29,CULEX RESTUANS,41.867108,-87.654224,2,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,6
2007-05-29,CULEX RESTUANS,41.896282,-87.655232,1,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,7
2007-05-29,CULEX PIPIENS/RESTUANS,41.919343,-87.694259,1,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,8
2007-05-29,CULEX PIPIENS/RESTUANS,41.921965,-87.632085,2,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,9
2007-05-29,CULEX RESTUANS,41.921965,-87.632085,3,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,9
2007-05-29,CULEX PIPIENS/RESTUANS,41.688324,-87.676709,1,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,10
2007-05-29,CULEX RESTUANS,41.688324,-87.676709,1,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,10
2007-05-29,CULEX RESTUANS,41.862292,-87.64886,1,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,11
2007-05-29,CULEX RESTUANS,41.720848,-87.666014,3,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,12
2007-05-29,CULEX RESTUANS,41.731922,-87.677512,5,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,13
2007-05-29,CULEX PIPIENS,41.731922,-87.677512,1,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,13
2007-05-29,CULEX PIPIENS/RESTUANS,41.891126,-87.61156,1,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,14
2007-05-29,CULEX RESTUANS,41.891126,-87.61156,2,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,14
2007-05-29,CULEX PIPIENS/RESTUANS,41.999129,-87.795585,1,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,15
2007-05-29,CULEX PIPIENS/RESTUANS,42.01743,-87.687769,1,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,16
2007-05-29,CULEX RESTUANS,41.907645,-87.760886,1,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,17
2007-05-29,CULEX RESTUANS,41.732984,-87.649642,1,0,88,60,74.0,58,65.0,0,9,421,1917,0.0,5.8,18,29.39,30.11,18
2007-06-05,CULEX PIPIENS/RESTUANS,41.95469,-87.800991,3,0,64,47,56.0,48,51.0,9,0,417,1923,0.42,5.2,5,29.1,29.79,1
